ssn,age,education,marital-status,relationship,sex,income
438-43-8438,40.0,Preschool,Divorced,Unmarried,,>50K
953-95-3953,46.0,,Married-civ-spouse,Husband,Male,
907-90-7907,28.0,HS-grad,Married-civ-spouse,Wife,Female,
860-86-0860,,Bachelors,Married-civ-spouse,,,<=50K
708-70-8708,30.0,HS-grad,Married-civ-spouse,Husband,Male,
136-13-6136,39.0,,Never-married,Not-in-family,,
502-50-2502,18.0,Some-college,Never-married,Not-in-family,,<=50K
703-70-3703,35.0,HS-grad,Married-civ-spouse,Wife,,
582-58-2582,32.0,Bachelors,Married-civ-spouse,Husband,,
868-86-8868,35.0,Some-college,Married-civ-spouse,Husband,,
128-12-8128,51.0,Assoc-acdm,Never-married,Not-in-family,,
189-18-9189,30.0,Bachelors,Never-married,Not-in-family,Female,>50K
564-56-4564,53.0,HS-grad,Divorced,,,
836-83-6836,,,,Husband,Male,<=50K
574-57-4574,23.0,Some-college,Never-married,Other-relative,Male,<=50K
408-40-8408,41.0,,Divorced,,,
692-69-2692,18.0,,,Own-child,Male,<=50K
230-23-0230,39.0,,,,,>50K
199-19-9199,66.0,5th-6th,Married-AF-spouse,,Female,
819-81-9819,67.0,,,Wife,Female,
722-72-2722,37.0,,Never-married,Unmarried,,<=50K
030-03-0030,21.0,11th,Married-civ-spouse,,Male,<=50K
729-72-9729,63.0,Assoc-voc,,,Male,
244-24-4244,29.0,Doctorate,Divorced,Not-in-family,,
949-94-9949,39.0,Some-college,,Husband,Male,
210-21-0210,30.0,HS-grad,Married-civ-spouse,Husband,Male,
671-67-1671,38.0,,,Husband,,
771-77-1771,39.0,Some-college,Never-married,Not-in-family,Female,<=50K
201-20-1201,45.0,Some-college,Married-civ-spouse,Husband,,>50K
303-30-3303,58.0,HS-grad,Never-married,Own-child,Female,<=50K
047-04-7047,33.0,Assoc-acdm,Divorced,Not-in-family,Male,<=50K
229-22-9229,45.0,HS-grad,Married-civ-spouse,,Male,<=50K
096-09-6096,22.0,Assoc-acdm,Never-married,,,<=50K
569-56-9569,20.0,Some-college,Never-married,Own-child,Male,<=50K
373-37-3373,,,Married-civ-spouse,Husband,Male,
998-99-8998,19.0,Assoc-acdm,,Own-child,Male,<=50K
403-40-3403,37.0,Some-college,,,Female,
716-71-6716,30.0,,Never-married,Not-in-family,,
160-16-0160,44.0,Bachelors,,Own-child,,<=50K
180-18-0180,50.0,HS-grad,Married-civ-spouse,Husband,Male,
105-10-5105,41.0,Assoc-acdm,Never-married,Not-in-family,Male,
519-51-9519,48.0,HS-grad,,Not-in-family,,<=50K
761-76-1761,31.0,HS-grad,Married-civ-spouse,Husband,,
022-02-2022,43.0,Assoc-voc,Widowed,Other-relative,Female,<=50K
115-11-5115,31.0,HS-grad,,Not-in-family,,<=50K
906-90-6906,42.0,Some-college,Never-married,Not-in-family,Female,
465-46-5465,24.0,Some-college,Never-married,Own-child,Male,<=50K
967-96-7967,,1st-4th,,Wife,,
664-66-4664,24.0,Bachelors,Never-married,Not-in-family,Male,<=50K
181-18-1181,27.0,HS-grad,Never-married,,,<=50K
780-78-0780,,Assoc-voc,,,Female,
760-76-0760,24.0,,Married-civ-spouse,Husband,,>50K
576-57-6576,33.0,7th-8th,,Husband,,<=50K
227-22-7227,67.0,1st-4th,,Not-in-family,Male,<=50K
167-16-7167,36.0,11th,Married-civ-spouse,Husband,,
074-07-4074,56.0,,,Not-in-family,,<=50K
926-92-6926,51.0,,Married-civ-spouse,Wife,Female,
178-17-8178,45.0,,Never-married,Unmarried,Female,<=50K
642-64-2642,19.0,HS-grad,Never-married,Own-child,Female,<=50K
202-20-2202,56.0,HS-grad,Widowed,Unmarried,,
024-02-4024,61.0,7th-8th,Married-AF-spouse,Husband,Female,<=50K
530-53-0530,87.0,Masters,Widowed,Not-in-family,Female,>50K
905-90-5905,50.0,,,Unmarried,Female,
221-22-1221,37.0,Bachelors,Never-married,,,
209-20-9209,82.0,Prof-school,Married-spouse-absent,Own-child,Female,
223-22-3223,42.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
439-43-9439,60.0,1st-4th,Married-civ-spouse,Husband,Male,
186-18-6186,52.0,Bachelors,Widowed,Unmarried,Female,<=50K
491-49-1491,65.0,HS-grad,,Husband,Male,
984-98-4984,36.0,HS-grad,Never-married,Not-in-family,Male,<=50K
601-60-1601,20.0,,Never-married,Own-child,,<=50K
617-61-7617,46.0,10th,Divorced,,Male,<=50K
182-18-2182,,Bachelors,,Husband,,>50K
924-92-4924,67.0,Doctorate,Never-married,Not-in-family,,
942-94-2942,,Some-college,Married-civ-spouse,Husband,,
742-74-2742,41.0,Bachelors,Divorced,Not-in-family,,<=50K
267-26-7267,26.0,,,Own-child,Female,<=50K
800-80-0800,40.0,HS-grad,Married-civ-spouse,Husband,,
522-52-2522,50.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
372-37-2372,,HS-grad,Married-civ-spouse,Husband,,<=50K
804-80-4804,30.0,,Never-married,Own-child,,
934-93-4934,59.0,Some-college,,Unmarried,Female,<=50K
821-82-1821,35.0,HS-grad,Divorced,Unmarried,Female,
921-92-1921,28.0,Assoc-voc,Never-married,,Male,<=50K
739-73-9739,37.0,,,Husband,,
916-91-6916,54.0,Some-college,Divorced,Unmarried,,<=50K
177-17-7177,27.0,,Never-married,Own-child,Male,<=50K
702-70-2702,20.0,Masters,Never-married,Own-child,Male,
396-39-6396,43.0,7th-8th,Separated,,Male,<=50K
867-86-7867,55.0,Doctorate,Married-civ-spouse,Husband,Male,
874-87-4874,34.0,Masters,Never-married,Unmarried,Male,
788-78-8788,39.0,Masters,,,Male,<=50K
544-54-4544,,HS-grad,Never-married,Other-relative,Male,
508-50-8508,28.0,Bachelors,Never-married,Not-in-family,Male,
001-00-1001,75.0,11th,Divorced,,Female,
936-93-6936,52.0,1st-4th,Married-civ-spouse,Husband,,
828-82-8828,25.0,Bachelors,,Not-in-family,Female,
414-41-4414,46.0,Masters,Separated,Other-relative,Female,>50K
711-71-1711,22.0,HS-grad,Never-married,Unmarried,,
055-05-5055,28.0,,Married-civ-spouse,Husband,Male,
504-50-4504,51.0,HS-grad,,Husband,Male,<=50K
919-91-9919,28.0,Masters,,Not-in-family,,>50K
643-64-3643,28.0,Preschool,Never-married,Own-child,,>50K
494-49-4494,46.0,Prof-school,Separated,,Female,
911-91-1911,28.0,10th,Never-married,Own-child,,
918-91-8918,39.0,Assoc-voc,Married-civ-spouse,Husband,,
590-59-0590,18.0,,,,Male,<=50K
675-67-5675,40.0,7th-8th,Separated,,Female,<=50K
540-54-0540,38.0,12th,Widowed,Other-relative,,>50K
640-64-0640,,,Never-married,,Male,<=50K
237-23-7237,20.0,11th,,Own-child,,
179-17-9179,43.0,7th-8th,Married-spouse-absent,,Female,<=50K
400-40-0400,35.0,12th,Never-married,,Female,
038-03-8038,40.0,,Never-married,,,>50K
987-98-7987,35.0,HS-grad,,,Male,
086-08-6086,,HS-grad,Married-civ-spouse,Husband,Male,>50K
632-63-2632,37.0,Bachelors,,Husband,Male,>50K
749-74-9749,49.0,Some-college,Divorced,Not-in-family,,
065-06-5065,,9th,Never-married,,,
093-09-3093,61.0,,Divorced,Not-in-family,,<=50K
766-76-6766,32.0,Prof-school,Married-civ-spouse,Husband,Male,>50K
611-61-1611,51.0,HS-grad,,,Female,
421-42-1421,61.0,Some-college,,Not-in-family,,
803-80-3803,21.0,HS-grad,Never-married,,,
847-84-7847,64.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
974-97-4974,48.0,Some-college,Divorced,Unmarried,Female,<=50K
084-08-4084,44.0,Assoc-acdm,Never-married,Not-in-family,,<=50K
732-73-2732,51.0,Some-college,Married-civ-spouse,Husband,,<=50K
217-21-7217,42.0,Preschool,Divorced,Unmarried,Female,>50K
621-62-1621,42.0,,Married-civ-spouse,Husband,Male,<=50K
512-51-2512,45.0,,Married-civ-spouse,Husband,,<=50K
450-45-0450,43.0,,Married-civ-spouse,Husband,,>50K
741-74-1741,32.0,HS-grad,,Husband,,<=50K
025-02-5025,36.0,Assoc-voc,Divorced,,Female,
787-78-7787,30.0,HS-grad,Widowed,Wife,,<=50K
625-62-5625,29.0,Prof-school,Never-married,,Male,<=50K
850-85-0850,49.0,7th-8th,,Unmarried,Male,<=50K
505-50-5505,35.0,Masters,,Own-child,Male,<=50K
423-42-3423,42.0,,Divorced,Not-in-family,,<=50K
776-77-6776,33.0,Assoc-acdm,Married-civ-spouse,,Female,
422-42-2422,36.0,,Never-married,Not-in-family,Female,<=50K
399-39-9399,,10th,Never-married,Not-in-family,,<=50K
145-14-5145,38.0,Prof-school,Divorced,Not-in-family,Female,
848-84-8848,25.0,,Married-civ-spouse,,Male,
923-92-3923,40.0,,,Husband,Male,>50K
184-18-4184,72.0,Doctorate,Married-spouse-absent,Not-in-family,,
613-61-3613,43.0,HS-grad,Divorced,Unmarried,Male,
872-87-2872,43.0,,,Husband,Male,<=50K
993-99-3993,68.0,Bachelors,Married-AF-spouse,Own-child,Male,
509-50-9509,28.0,Some-college,Divorced,Not-in-family,Female,<=50K
305-30-5305,29.0,Bachelors,,Husband,Male,>50K
112-11-2112,56.0,HS-grad,Married-civ-spouse,Husband,,>50K
159-15-9159,78.0,5th-6th,Never-married,Other-relative,,
188-18-8188,58.0,11th,Divorced,Not-in-family,,>50K
449-44-9449,40.0,Some-college,Divorced,Not-in-family,,<=50K
436-43-6436,49.0,Assoc-voc,Divorced,Not-in-family,Male,<=50K
334-33-4334,47.0,,Married-civ-spouse,,,<=50K
523-52-3523,44.0,,Married-civ-spouse,Husband,,
683-68-3683,29.0,,Married-civ-spouse,Husband,Male,
592-59-2592,28.0,Some-college,Never-married,Not-in-family,,<=50K
050-05-0050,28.0,10th,Never-married,Own-child,,>50K
437-43-7437,18.0,Doctorate,Married-civ-spouse,Unmarried,Male,
406-40-6406,,Bachelors,Divorced,Not-in-family,,
051-05-1051,59.0,Bachelors,Married-civ-spouse,,,<=50K
552-55-2552,23.0,9th,Divorced,Not-in-family,Female,
433-43-3433,47.0,HS-grad,Divorced,Unmarried,Male,<=50K
622-62-2622,83.0,Bachelors,Married-spouse-absent,Own-child,Female,
117-11-7117,33.0,,Never-married,,,<=50K
781-78-1781,33.0,,Never-married,,Female,<=50K
878-87-8878,61.0,10th,Married-civ-spouse,,,
066-06-6066,35.0,HS-grad,Married-civ-spouse,Wife,,
164-16-4164,51.0,11th,,Unmarried,Female,<=50K
139-13-9139,34.0,Assoc-acdm,Divorced,Not-in-family,Female,<=50K
027-02-7027,60.0,1st-4th,Married-civ-spouse,Husband,,
937-93-7937,42.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
011-01-1011,,HS-grad,Married-civ-spouse,Husband,Male,
980-98-0980,22.0,Some-college,Never-married,Not-in-family,Female,<=50K
100-10-0100,18.0,HS-grad,Never-married,Own-child,Male,<=50K
493-49-3493,38.0,11th,,Wife,Female,>50K
389-38-9389,22.0,,Married-civ-spouse,,Female,
458-45-8458,36.0,,Married-civ-spouse,Husband,,
891-89-1891,37.0,HS-grad,Married-civ-spouse,Husband,,<=50K
707-70-7707,28.0,,Never-married,Own-child,Male,<=50K
392-39-2392,36.0,Assoc-voc,Married-civ-spouse,Wife,,<=50K
679-67-9679,44.0,HS-grad,Divorced,,,<=50K
255-25-5255,,Bachelors,Never-married,,Female,
812-81-2812,41.0,,Married-civ-spouse,,Female,
445-44-5445,26.0,Bachelors,Never-married,Not-in-family,Female,<=50K
913-91-3913,25.0,Bachelors,Married-spouse-absent,Not-in-family,Male,
419-41-9419,35.0,Bachelors,Married-civ-spouse,Husband,Male,
586-58-6586,34.0,12th,Divorced,Unmarried,Female,<=50K
143-14-3143,30.0,Bachelors,Divorced,Unmarried,,<=50K
977-97-7977,50.0,9th,Divorced,,Female,<=50K
855-85-5855,58.0,Preschool,,Husband,Male,<=50K
915-91-5915,34.0,Bachelors,,Other-relative,,
822-82-2822,27.0,Bachelors,Never-married,Own-child,,<=50K
653-65-3653,45.0,,,Husband,,>50K
898-89-8898,32.0,Some-college,,Husband,Male,<=50K
258-25-8258,31.0,Bachelors,,,Female,>50K
171-17-1171,48.0,Bachelors,Married-civ-spouse,Husband,Male,
961-96-1961,,Masters,Separated,Not-in-family,,
365-36-5365,78.0,HS-grad,Married-civ-spouse,Husband,Male,
515-51-5515,31.0,Assoc-voc,,Not-in-family,Female,<=50K
261-26-1261,21.0,Some-college,Never-married,,Male,<=50K
404-40-4404,27.0,,Never-married,Not-in-family,,<=50K
764-76-4764,47.0,Some-college,Divorced,,,
507-50-7507,35.0,HS-grad,Married-civ-spouse,Husband,,<=50K
380-38-0380,47.0,Some-college,,Husband,,<=50K
384-38-4384,31.0,HS-grad,,Not-in-family,Female,<=50K
193-19-3193,43.0,,Never-married,Not-in-family,Male,<=50K
745-74-5745,36.0,HS-grad,Divorced,Unmarried,Female,
834-83-4834,59.0,,Divorced,Not-in-family,Female,
684-68-4684,41.0,HS-grad,,Unmarried,Female,
796-79-6796,40.0,,Never-married,Own-child,Male,<=50K
386-38-6386,39.0,Assoc-voc,Never-married,Not-in-family,,
412-41-2412,40.0,Some-college,Never-married,Not-in-family,,
026-02-6026,22.0,Assoc-voc,Never-married,Own-child,,<=50K
837-83-7837,38.0,Some-college,Married-civ-spouse,Husband,,
901-90-1901,53.0,Masters,,,Male,
174-17-4174,45.0,Preschool,Divorced,Unmarried,Female,>50K
594-59-4594,35.0,12th,Widowed,Unmarried,,<=50K
939-93-9939,,Bachelors,,Own-child,Female,
205-20-5205,60.0,Assoc-acdm,,Husband,Male,
718-71-8718,22.0,Bachelors,Never-married,Not-in-family,,
343-34-3343,69.0,Assoc-acdm,Never-married,Not-in-family,Female,
163-16-3163,,Prof-school,Never-married,Not-in-family,Female,
982-98-2982,48.0,HS-grad,Married-civ-spouse,Husband,,<=50K
890-89-0890,54.0,Doctorate,Married-spouse-absent,Wife,Female,>50K
853-85-3853,39.0,Some-college,,Husband,Male,
397-39-7397,,Bachelors,,Own-child,,
266-26-6266,29.0,,,Unmarried,,
220-22-0220,22.0,Some-college,Never-married,Own-child,Male,<=50K
368-36-8368,40.0,,,,Female,<=50K
353-35-3353,52.0,,,Husband,Male,
897-89-7897,26.0,,Married-civ-spouse,,Male,>50K
566-56-6566,45.0,HS-grad,Married-civ-spouse,Husband,Male,
637-63-7637,,Assoc-voc,,Own-child,Female,<=50K
277-27-7277,30.0,Assoc-voc,,Not-in-family,,<=50K
120-12-0120,26.0,HS-grad,Separated,Own-child,Male,<=50K
307-30-7307,59.0,HS-grad,,Not-in-family,,
498-49-8498,40.0,,Married-civ-spouse,Husband,,>50K
109-10-9109,64.0,Bachelors,Married-civ-spouse,Husband,,
153-15-3153,38.0,9th,Separated,Other-relative,Female,
468-46-8468,,HS-grad,Divorced,,,
169-16-9169,33.0,,Never-married,Not-in-family,,<=50K
395-39-5395,,Masters,Married-civ-spouse,Husband,,
538-53-8538,44.0,Some-college,Married-civ-spouse,Husband,Male,>50K
448-44-8448,70.0,11th,Never-married,Husband,Male,
257-25-7257,50.0,Bachelors,Married-civ-spouse,Husband,Male,
677-67-7677,41.0,Some-college,,Husband,Male,>50K
009-00-9009,,Some-college,,Husband,,>50K
350-35-0350,55.0,10th,,Husband,,<=50K
078-07-8078,59.0,11th,Married-civ-spouse,Husband,Male,>50K
783-78-3783,65.0,5th-6th,Married-AF-spouse,,Male,
462-46-2462,41.0,HS-grad,,Husband,,
081-08-1081,,10th,Never-married,Own-child,,>50K
344-34-4344,62.0,HS-grad,Married-AF-spouse,Wife,,>50K
268-26-8268,37.0,Bachelors,Never-married,Not-in-family,Male,
644-64-4644,44.0,HS-grad,Married-civ-spouse,Husband,Male,>50K
233-23-3233,37.0,HS-grad,Married-civ-spouse,Husband,Male,
838-83-8838,60.0,11th,Divorced,Not-in-family,,<=50K
928-92-8928,18.0,HS-grad,,Own-child,Female,<=50K
087-08-7087,30.0,HS-grad,Never-married,Not-in-family,,
914-91-4914,32.0,,Married-civ-spouse,,Male,
962-96-2962,33.0,Some-college,,Wife,Female,
895-89-5895,20.0,,,,Female,
097-09-7097,50.0,,Married-civ-spouse,Husband,Male,
140-14-0140,34.0,HS-grad,Married-civ-spouse,,,>50K
289-28-9289,24.0,,Never-married,Not-in-family,Male,<=50K
596-59-6596,55.0,Bachelors,,,Male,
791-79-1791,57.0,Masters,,Unmarried,,<=50K
252-25-2252,54.0,HS-grad,Divorced,,Male,
183-18-3183,88.0,Masters,Never-married,Wife,Male,
149-14-9149,25.0,HS-grad,Never-married,Not-in-family,,
142-14-2142,42.0,HS-grad,,Other-relative,Female,
990-99-0990,60.0,HS-grad,Divorced,Not-in-family,Female,<=50K
806-80-6806,23.0,Bachelors,,Not-in-family,Female,
831-83-1831,49.0,HS-grad,Married-civ-spouse,Husband,,<=50K
280-28-0280,57.0,1st-4th,Never-married,Other-relative,Male,<=50K
866-86-6866,39.0,,Divorced,Unmarried,Female,<=50K
434-43-4434,,Assoc-acdm,Married-civ-spouse,Husband,Male,<=50K
328-32-8328,,HS-grad,Divorced,Own-child,,<=50K
567-56-7567,27.0,Some-college,Married-civ-spouse,Husband,,
310-31-0310,,HS-grad,Married-civ-spouse,Husband,,>50K
479-47-9479,46.0,,Married-civ-spouse,Husband,Male,
774-77-4774,79.0,Bachelors,Married-spouse-absent,,,>50K
887-88-7887,23.0,HS-grad,Married-civ-spouse,Husband,Male,
792-79-2792,38.0,HS-grad,Divorced,Husband,Female,<=50K
456-45-6456,32.0,,Divorced,Own-child,,<=50K
130-13-0130,42.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
627-62-7627,22.0,,Never-married,,Female,>50K
141-14-1141,47.0,,Divorced,Unmarried,Female,
609-60-9609,59.0,HS-grad,Divorced,,,
797-79-7797,,HS-grad,Widowed,Other-relative,,<=50K
957-95-7957,26.0,,Never-married,Not-in-family,Male,<=50K
218-21-8218,32.0,Some-college,Never-married,Own-child,Female,<=50K
651-65-1651,70.0,Prof-school,Never-married,,Female,
531-53-1531,46.0,HS-grad,Widowed,Other-relative,,
276-27-6276,55.0,Some-college,Married-civ-spouse,Husband,,
304-30-4304,44.0,,,,Female,
347-34-7347,23.0,10th,Never-married,Not-in-family,Female,
215-21-5215,44.0,Masters,Married-civ-spouse,Husband,,
052-05-2052,,,Married-civ-spouse,Husband,Male,>50K
281-28-1281,72.0,Assoc-voc,Widowed,Not-in-family,,<=50K
300-30-0300,35.0,,Married-civ-spouse,,Male,
075-07-5075,22.0,,,Not-in-family,Male,>50K
152-15-2152,,5th-6th,Never-married,Not-in-family,,<=50K
602-60-2602,42.0,,,Not-in-family,,
068-06-8068,51.0,,Separated,,Female,
678-67-8678,42.0,Some-college,Never-married,,,<=50K
960-96-0960,37.0,11th,Married-civ-spouse,,Male,<=50K
556-55-6556,32.0,Prof-school,,Not-in-family,Male,
057-05-7057,,HS-grad,Divorced,,,>50K
028-02-8028,43.0,,Divorced,,,>50K
231-23-1231,57.0,HS-grad,Widowed,Unmarried,,<=50K
176-17-6176,41.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
308-30-8308,35.0,Some-college,Married-civ-spouse,Husband,,<=50K
192-19-2192,62.0,12th,Married-civ-spouse,Husband,Male,
240-24-0240,22.0,Some-college,Never-married,,Female,
873-87-3873,21.0,,,Husband,Male,>50K
529-52-9529,65.0,Some-college,Never-married,Not-in-family,,<=50K
581-58-1581,25.0,Some-college,,Other-relative,Female,<=50K
348-34-8348,74.0,Assoc-voc,Widowed,Wife,,
298-29-8298,21.0,HS-grad,,,Male,
432-43-2432,45.0,HS-grad,Married-civ-spouse,Husband,,>50K
254-25-4254,30.0,Some-college,Never-married,Not-in-family,Female,<=50K
099-09-9099,31.0,Some-college,Never-married,,,<=50K
695-69-5695,33.0,HS-grad,Never-married,,,
835-83-5835,51.0,,,Husband,Male,>50K
317-31-7317,53.0,Assoc-voc,Married-civ-spouse,Husband,Male,<=50K
405-40-5405,26.0,HS-grad,Never-married,Not-in-family,Male,
137-13-7137,59.0,Assoc-acdm,Married-civ-spouse,Husband,Male,<=50K
330-33-0330,,Some-college,Never-married,Not-in-family,Male,<=50K
251-25-1251,52.0,Some-college,Married-civ-spouse,Husband,Male,<=50K
351-35-1351,23.0,Assoc-voc,Never-married,Own-child,Male,
224-22-4224,35.0,,,Husband,Male,<=50K
810-81-0810,20.0,,Never-married,Own-child,Female,
945-94-5945,42.0,Preschool,Married-civ-spouse,Husband,,<=50K
114-11-4114,24.0,Some-college,Never-married,,,<=50K
649-64-9649,26.0,HS-grad,Never-married,,Male,
546-54-6546,44.0,Bachelors,,Not-in-family,,<=50K
041-04-1041,85.0,Preschool,Widowed,Husband,Male,
786-78-6786,29.0,Some-college,Married-civ-spouse,Husband,,<=50K
003-00-3003,84.0,Some-college,Married-AF-spouse,Other-relative,Male,>50K
370-37-0370,46.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
401-40-1401,25.0,5th-6th,Married-spouse-absent,Own-child,Female,<=50K
318-31-8318,21.0,,Never-married,Not-in-family,Male,
662-66-2662,30.0,,,Not-in-family,Male,<=50K
789-78-9789,36.0,11th,Married-civ-spouse,,Male,
102-10-2102,56.0,HS-grad,Divorced,Unmarried,,<=50K
239-23-9239,41.0,Some-college,,,Male,
226-22-6226,86.0,HS-grad,,Not-in-family,,<=50K
931-93-1931,55.0,1st-4th,Widowed,,Female,
165-16-5165,42.0,12th,Married-civ-spouse,Wife,,>50K
541-54-1541,33.0,11th,Never-married,Not-in-family,Male,>50K
388-38-8388,36.0,,Never-married,Own-child,Female,
309-30-9309,28.0,HS-grad,,Husband,Male,
489-48-9489,31.0,,,,Female,<=50K
360-36-0360,89.0,12th,Married-civ-spouse,Husband,,<=50K
416-41-6416,40.0,Bachelors,Married-civ-spouse,Husband,,
726-72-6726,,Some-college,Married-civ-spouse,Husband,Male,>50K
815-81-5815,52.0,,,Not-in-family,,<=50K
501-50-1501,44.0,,Married-civ-spouse,Wife,Female,
559-55-9559,86.0,Some-college,Widowed,Own-child,Male,<=50K
107-10-7107,21.0,Bachelors,Never-married,Other-relative,Male,
059-05-9059,62.0,HS-grad,Widowed,Husband,Male,
411-41-1411,51.0,11th,Widowed,Not-in-family,Female,<=50K
442-44-2442,44.0,10th,Married-civ-spouse,Husband,Male,<=50K
829-82-9829,,Bachelors,,Husband,Male,
103-10-3103,,,Married-civ-spouse,,,<=50K
194-19-4194,47.0,Bachelors,Married-civ-spouse,Husband,,
785-78-5785,36.0,Assoc-voc,Married-civ-spouse,,,<=50K
049-04-9049,,,Married-civ-spouse,,,
393-39-3393,63.0,Bachelors,Married-civ-spouse,Husband,Male,<=50K
472-47-2472,23.0,Some-college,Never-married,Own-child,Female,<=50K
430-43-0430,47.0,Bachelors,Married-civ-spouse,Husband,,
339-33-9339,42.0,Bachelors,Divorced,Unmarried,,<=50K
060-06-0060,18.0,Some-college,Never-married,Own-child,Male,
941-94-1941,69.0,,,,Male,<=50K
570-57-0570,20.0,HS-grad,Never-married,Not-in-family,Female,<=50K
920-92-0920,76.0,,Widowed,,Male,<=50K
020-02-0020,31.0,,Married-civ-spouse,Husband,Male,<=50K
302-30-2302,,Bachelors,,Husband,,>50K
158-15-8158,32.0,,Divorced,Unmarried,Female,<=50K
053-05-3053,22.0,,Never-married,Not-in-family,Female,>50K
260-26-0260,38.0,7th-8th,,Husband,,
734-73-4734,35.0,HS-grad,,Husband,,>50K
212-21-2212,35.0,Bachelors,Married-civ-spouse,,Male,
216-21-6216,50.0,Prof-school,Divorced,Not-in-family,Female,<=50K
763-76-3763,30.0,,Never-married,,Female,
446-44-6446,,5th-6th,Married-civ-spouse,Wife,,<=50K
976-97-6976,32.0,HS-grad,Never-married,Not-in-family,Female,
736-73-6736,21.0,Some-college,,Not-in-family,,
728-72-8728,32.0,HS-grad,Never-married,Other-relative,,<=50K
694-69-4694,60.0,11th,Married-civ-spouse,,Male,
978-97-8978,29.0,Bachelors,Married-civ-spouse,Wife,,
106-10-6106,,Some-college,Married-civ-spouse,Husband,,>50K
010-01-0010,57.0,,Divorced,Unmarried,,
245-24-5245,26.0,Bachelors,Married-civ-spouse,,Male,
667-66-7667,28.0,Bachelors,Never-married,Unmarried,Female,<=50K
207-20-7207,33.0,,,Husband,Male,>50K
772-77-2772,23.0,,,Other-relative,Female,
474-47-4474,35.0,,Married-civ-spouse,Husband,Male,
688-68-8688,,Bachelors,Divorced,Not-in-family,Male,<=50K
294-29-4294,39.0,,Married-civ-spouse,,,
299-29-9299,29.0,HS-grad,,,Female,<=50K
361-36-1361,55.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
735-73-5735,36.0,Some-college,Never-married,Not-in-family,Female,<=50K
234-23-4234,24.0,Bachelors,Never-married,Own-child,Female,
805-80-5805,24.0,Masters,Married-civ-spouse,,,
312-31-2312,44.0,HS-grad,Married-civ-spouse,Husband,Male,<=50K
902-90-2902,59.0,,Never-married,Husband,Female,
840-84-0840,,Bachelors,,,Male,
747-74-7747,41.0,HS-grad,Married-AF-spouse,Other-relative,Male,<=50K
802-80-2802,40.0,Some-college,Divorced,,Female,
156-15-6156,45.0,,Married-civ-spouse,Husband,Male,
856-85-6856,40.0,Some-college,Never-married,Own-child,,<=50K
893-89-3893,33.0,,Never-married,Not-in-family,,<=50K
981-98-1981,55.0,Bachelors,,Not-in-family,,<=50K
991-99-1991,74.0,Doctorate,Never-married,Not-in-family,Female,
146-14-6146,,HS-grad,Never-married,Not-in-family,Male,
320-32-0320,45.0,Some-college,Never-married,Not-in-family,,<=50K
714-71-4714,33.0,Preschool,Married-spouse-absent,,Female,<=50K
676-67-6676,36.0,Bachelors,Married-civ-spouse,Wife,Female,
324-32-4324,43.0,5th-6th,Divorced,Unmarried,Female,
619-61-9619,86.0,Masters,Widowed,Husband,Male,
929-92-9929,17.0,Bachelors,Widowed,Own-child,,
496-49-6496,31.0,Assoc-voc,Widowed,Wife,,
561-56-1561,62.0,HS-grad,Married-civ-spouse,,Male,
297-29-7297,40.0,HS-grad,Divorced,Not-in-family,,
362-36-2362,34.0,Some-college,Married-civ-spouse,Wife,,>50K
946-94-6946,38.0,Bachelors,Married-civ-spouse,Wife,Female,>50K
394-39-4394,34.0,Assoc-voc,Married-civ-spouse,Husband,Male,>50K
875-87-5875,30.0,Assoc-voc,Divorced,,Female,<=50K
770-77-0770,46.0,HS-grad,Separated,Not-in-family,,<=50K
782-78-2782,83.0,7th-8th,,Other-relative,,<=50K
851-85-1851,,HS-grad,,Not-in-family,,
560-56-0560,27.0,,,Own-child,Female,
583-58-3583,17.0,Bachelors,Widowed,Own-child,Male,<=50K
327-32-7327,23.0,10th,,Other-relative,Female,<=50K
645-64-5645,26.0,Bachelors,Never-married,,,<=50K
591-59-1591,49.0,,Married-civ-spouse,Own-child,Male,<=50K
379-37-9379,49.0,Some-college,Divorced,Not-in-family,,<=50K
319-31-9319,30.0,,Never-married,Not-in-family,Female,
190-19-0190,36.0,,Divorced,,,<=50K
338-33-8338,31.0,,Divorced,Not-in-family,Male,<=50K
122-12-2122,43.0,Assoc-acdm,,Husband,Male,
659-65-9659,55.0,Bachelors,Married-civ-spouse,Husband,Male,
700-70-0700,41.0,Assoc-acdm,Separated,,Female,<=50K
271-27-1271,32.0,Bachelors,Never-married,,,
744-74-4744,63.0,11th,,Husband,Male,<=50K
719-71-9719,,,,Not-in-family,Male,<=50K
314-31-4314,29.0,Masters,Married-civ-spouse,Husband,Male,>50K
459-45-9459,,HS-grad,Married-civ-spouse,Husband,,<=50K
526-52-6526,,HS-grad,Married-civ-spouse,,Male,
282-28-2282,61.0,Doctorate,Married-civ-spouse,Husband,,
168-16-8168,42.0,HS-grad,,,Male,
